timestamp,src_dpid,dst_dpid,computation_time_ms
1780126830.0418546,14,18,2.163828998163808
1780126830.0514486,13,17,2.0997890023863874
1780127774.7057047,13,17,3.385359999811044
1780127774.7108278,13,17,2.2160799999255687
1780127774.776533,14,18,2.6505770001676865
1780128354.1412482,13,17,3.5119019994453993
1780128354.1466553,13,17,2.516348999051843
1780128354.155901,14,18,2.5235930006601848
1780128356.2404885,2,18,3.35997000001953
1780128356.247183,2,17,2.99646900020889
1780128670.667989,13,17,3.092858001764398
1780128670.674672,14,18,2.34570699831238
1780128670.7203293,13,17,3.2114309979078826
1780128672.6289794,2,18,2.744813999015605
1780128672.642585,2,17,5.512198000360513
1780128672.6498039,2,17,3.672438997455174
1780128824.8743489,14,18,3.075709999393439
1780128824.885246,13,17,2.326952999283094
1780128824.8900805,13,17,2.036639998550527
1780128826.8819358,2,18,2.9947399998491164
1780128826.890437,2,17,3.6846650000370573
1780128826.89642,5,17,2.218085999629693
1780129402.7634723,13,17,3.7178749989834614
1780129402.7713323,13,17,3.914942000847077
1780129402.8207254,14,18,1.88536800123984
1780129564.5335255,13,17,2.859774001990445
1780129564.5423176,14,18,2.2846390020276885
1780129564.5533817,13,17,2.134968999598641
1780129566.5293546,5,17,5.4521369966096245
1780129566.538369,5,17,5.230920000030892
1780129566.54614,5,18,5.54638800167595
1780129770.8657575,14,18,3.005095000844449
1780129770.9148161,13,17,3.810383001109585
1780129770.9231317,13,17,2.0950979996996466
1780130991.0315702,13,17,6.775369998649694
1780130991.0758858,13,17,2.6620229982654564
1780130991.081029,14,18,2.4007939973671455
1780131391.9949536,14,18,3.35957900097128
1780131392.0093012,13,17,1.9476920024317224
1780131392.056718,13,17,2.9670110016013496
1780131619.0081172,13,17,3.0862569983582944
1780131619.044515,13,17,2.842763999069575
1780131619.0842557,14,18,1.9286399983684532
1780134457.9432528,13,17,3.8809440011391416
1780134458.9371622,13,17,2.6018569988082163
1780134459.9347467,14,18,3.315990001283353
1780134502.9039838,13,17,2.0587719991453923
1780134503.9065118,13,17,2.4573009977757465
1780134504.9065416,14,18,1.8402829991828185
1780134758.4480276,13,17,1.8939010005851742
1780134759.4301097,13,17,1.7360029996780213
1780134760.4320614,14,18,1.4443809996009804
1780135196.6172144,13,17,2.533846000005724
1780135197.5952687,13,17,1.9472050007607322
1780135198.5967872,14,18,1.3232640012574848
1780135307.1485095,13,17,3.2879899990803096
1780135308.1300938,13,17,1.3571430026786402
1780135309.136655,14,18,1.8714830002863891
1780135631.1961758,13,17,2.203712003392866
1780135632.172572,13,17,1.6832680012157653
1780135633.1829681,14,18,1.8480199978512246
1780135752.0011327,13,17,2.020225001615472
1780135752.9857106,13,17,1.392229001794476
1780135753.9841368,14,18,1.2932010031363461
1780135796.506771,13,17,2.247096002975013
1780135797.4776444,13,17,1.3378519979596604
1780135798.4775774,14,18,1.429144002031535
1780135885.7595506,13,17,2.148352999938652
1780135885.8072073,17,13,1.5230009994411375
1780135901.745033,13,17,2.254005001304904
1780135902.6773188,13,17,1.559439999255119
1780135903.6766443,14,18,1.5933079994283617
1780135904.6731913,14,18,1.2609359982889146
1780136157.906234,13,17,1.9782370000029914
1780136158.88927,13,17,1.459421000618022
1780136159.892051,14,18,1.3581739985966124
1780140076.4737933,13,17,2.0882460012217052
1780140077.4746804,13,17,1.4463999978033826
1780140078.4727457,14,18,1.694107999355765
