timestamp,src_dpid,dst_dpid,computation_time_ms
1780034591.4193873,5,18,36.39672000099381
1780034591.4479015,5,18,21.256120000543888
1780034591.476046,2,17,19.240192999859573
1780034591.5572433,1,13,17.489897001723875
1780034591.5973117,1,14,20.81769600044936
1780034859.1255045,13,17,22.603012999752536
1780034859.2192829,14,18,18.801783999151667
1780034859.2689385,13,17,20.306296999478946
1780034861.0657623,2,17,20.76204900004086
1780034861.092556,2,17,21.064167998702032
1780034879.5531845,17,13,32.43295199899876
1780034879.5805142,17,13,21.414563001599163
1780035030.5993085,14,18,17.71511799961445
1780035030.712826,13,17,20.535003000986762
1780035030.7370677,13,17,17.60932899924228
1780035032.5864253,2,17,27.529127999514458
1780035032.6096718,2,17,18.77957100077765
1780035032.6318126,2,18,19.900264998796047
1780035050.9982796,18,14,36.35943999870506
1780035051.0226982,17,13,19.064121999690542
1780035051.043367,17,13,18.149245999666164
1780035124.7689695,14,18,19.13236499967752
1780035124.8494642,13,17,19.46861699980218
1780035124.869424,13,17,17.14151300075173
1780035126.7979462,2,17,23.069308001140598
1780035126.8257804,2,17,21.07705500020529
1780035126.8458636,2,18,17.725123001582688
1780035145.297354,17,13,47.2654169989255
1780035145.3268118,17,13,21.800069000164513
1780035333.7294025,13,17,23.341304000496166
1780035333.7490683,13,17,17.224159000761574
1780035333.8431194,14,18,18.38779999889084
1780035335.9661567,5,17,22.15752899974177
1780035335.9897485,5,17,20.09918700059643
1780035354.206209,17,13,34.383283000352094
1780035354.2273743,17,13,17.54798000001756
1780035801.7297392,14,18,15.944182001476292
1780035801.7859917,13,17,18.241198000396253
1780035801.8083858,13,17,19.277093999335193
1780035803.7171297,5,17,25.556582000717754
1780035803.7478664,5,17,19.628571999419364
1780035803.769899,5,17,19.844630000079633
1780035803.7861238,1,18,14.267047999965143
1780035805.0159986,6,17,44.38624599970353
1780035805.021019,18,18,1.0355930007790448
1780035805.046844,13,17,23.28035299979092
1780036334.1040928,13,17,22.327984999719774
1780036334.1332698,13,17,25.993126999310334
1780036334.178665,14,18,15.586130000883713
1780036336.0320048,5,17,62.60655100049917
1780036336.0631936,5,17,20.77616200040211
1780036336.3121405,5,17,41.394363001018064
1780036354.5901573,18,14,32.335305000742665
1780036354.6132033,17,13,19.644489999336656
1780042488.2969215,13,17,26.935497000522446
1780042490.52596,13,17,18.08693600105471
1780042490.5542045,14,18,19.750502000533743
1780042490.5754442,14,18,18.59658099783701
1780042490.6652613,18,14,19.395604998862837
1780042490.6844037,17,13,16.826565999508603
1780042490.7128363,18,14,17.62474499992095
1780130718.8362432,14,18,19.0002290000848
1780130718.88203,13,17,16.52781899974798
1780130718.9065166,13,17,22.037484999600565
1780130820.904012,13,17,17.76513599907048
1780130820.9264474,13,17,16.869571001734585
1780130820.9487498,14,18,17.584596000233432
1780131691.308924,13,17,18.655357001989614
1780131691.380429,14,18,20.745559999340912
1780131691.4035141,13,17,20.102819999010535
1780131869.7162638,13,17,26.000745998317143
1780131869.819488,14,18,24.599623997346498
1780131869.8502858,13,17,27.032370002416428
1780132032.2325644,13,17,23.910453001008136
1780132032.3174338,13,17,29.12225899854093
1780132032.348056,14,18,22.974079998675734
1780132139.3785465,13,17,37.9398110017064
1780132139.4468672,13,17,32.43176899923128
1780132139.512608,14,18,26.74119700168376
1780132397.1275792,13,17,24.191425000026356
1780132397.217084,14,18,30.871645001752768
1780132397.3310187,13,17,29.627932999574114
1780132507.8763251,14,18,32.86790200218093
1780132507.9096901,13,17,29.882213999371743
1780132508.0328772,13,17,26.537795001786435
1780132679.228881,13,17,34.362323000095785
1780132679.289318,13,17,26.081530002556974
1780132679.3575675,14,18,27.65941399775329
1780132878.8205113,14,18,27.52184400014812
1780132878.8652918,13,17,32.856973997695604
1780132878.8946023,13,17,27.04943199933041
1780133206.925168,13,17,26.987364999513375
1780133206.9593732,14,18,24.604343001556117
1780133207.0002122,13,17,27.26348199939821
1780133415.9922292,14,18,30.217306997656124
1780133416.0635266,13,17,33.04375500010792
1780133416.0968838,13,17,28.001812999718823
1780133607.5656686,14,18,44.457610998506425
1780133607.6305568,13,17,25.584496001101797
1780133607.660299,13,17,25.740216999111
1780133811.753771,13,17,51.070898000034504
1780133812.728274,13,17,45.38108500128146
1780133813.9668474,14,18,27.7929200019571
